quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
features.0.0.weight_quantizer,weight,8,2.0,5,,36.48,0.0
features.0.0.bias_quantizer,weight,8,5.0,2,,40.98,0.0
features.0.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.1.conv.0.0.weight_quantizer,weight,8,1.0,6,,42.2,0.0
features.1.conv.0.0.bias_quantizer,weight,8,5.0,2,,34.96,0.0
features.1.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.1.conv.1.weight_quantizer,weight,8,1.0,6,,35.91,0.0
features.1.conv.1.bias_quantizer,weight,8,4.0,3,,41.25,0.0
features.1.conv.1.act_quantizer,act,8,6.0,1,,,
features.2.conv.0.0.weight_quantizer,weight,8,1.0,6,,35.94,0.0
features.2.conv.0.0.bias_quantizer,weight,8,5.0,2,,37.18,0.0
features.2.conv.0.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.2.conv.1.0.weight_quantizer,weight,8,1.0,6,,39.5,0.0
features.2.conv.1.0.bias_quantizer,weight,8,7.0,0,,32.33,0.0
features.2.conv.1.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.2.conv.2.weight_quantizer,weight,8,1.0,6,,36.04,0.0
features.2.conv.2.bias_quantizer,weight,8,6.0,1,,38.18,0.0
features.2.conv.2.act_quantizer,act,8,7.0,0,,,
features.3.conv.0.0.weight_quantizer,weight,8,0.0,7,,38.96,0.0
features.3.conv.0.0.bias_quantizer,weight,8,6.0,1,,38.07,0.0
features.3.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.3.conv.1.0.weight_quantizer,weight,8,1.0,6,,36.02,0.0
features.3.conv.1.0.bias_quantizer,weight,8,6.0,1,,34.78,0.0
features.3.conv.1.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.3.conv.2.weight_quantizer,weight,8,1.0,6,,34.36,0.0
features.3.conv.2.bias_quantizer,weight,8,5.0,2,,42.05,0.0
features.3.conv.2.act_quantizer,act,8,7.0,0,,,
features.4.conv.0.0.weight_quantizer,weight,8,0.0,7,,35.6,0.0
features.4.conv.0.0.bias_quantizer,weight,8,5.0,2,,36.61,0.0
features.4.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.4.conv.1.0.weight_quantizer,weight,8,0.0,7,,41.52,0.0
features.4.conv.1.0.bias_quantizer,weight,8,5.0,2,,37.74,0.0
features.4.conv.1.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.4.conv.2.weight_quantizer,weight,8,0.0,7,,37.03,0.0
features.4.conv.2.bias_quantizer,weight,8,5.0,2,,42.78,0.0
features.4.conv.2.act_quantizer,act,8,7.0,0,,,
features.5.conv.0.0.weight_quantizer,weight,8,1.0,6,,31.17,0.0
features.5.conv.0.0.bias_quantizer,weight,8,6.0,1,,37.15,0.0
features.5.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.5.conv.1.0.weight_quantizer,weight,8,1.0,6,,34.52,0.0
features.5.conv.1.0.bias_quantizer,weight,8,7.0,0,,29.07,0.0
features.5.conv.1.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
features.5.conv.2.weight_quantizer,weight,8,1.0,6,,31.96,0.0
features.5.conv.2.bias_quantizer,weight,8,5.0,2,,39.08,0.0
features.5.conv.2.act_quantizer,act,8,6.0,1,,,
features.6.conv.0.0.weight_quantizer,weight,8,0.0,7,,37.09,0.0
features.6.conv.0.0.bias_quantizer,weight,8,6.0,1,,35.66,0.0
features.6.conv.0.0.act_quantizer,act,8,7.0,0,"(0.0, None)",,
features.6.conv.1.0.weight_quantizer,weight,8,1.0,6,,34.91,0.0
features.6.conv.1.0.bias_quantizer,weight,8,6.0,1,,35.05,0.0
features.6.conv.1.0.act_quantizer,act,8,6.0,1,"(0.0, None)",,
