epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
0,features.0.0.weight_quantizer,weight,8,1.0002,5,,36.26,0.0
0,features.0.0.bias_quantizer,weight,8,3.8275,3,,22.75,0.0625
0,features.0.0.act_quantizer,act,8,4.0,2,"(0.0, None)",,
0,features.1.conv.0.0.weight_quantizer,weight,8,0.0456,6,,41.53,0.0
0,features.1.conv.0.0.bias_quantizer,weight,8,4.0879,2,,34.96,0.0
0,features.1.conv.0.0.act_quantizer,act,8,4.272,2,"(0.0, None)",,
0,features.1.conv.1.weight_quantizer,weight,8,-0.9347,7,,41.69,0.0
0,features.1.conv.1.bias_quantizer,weight,8,4.398,2,,37.94,0.0
0,features.1.conv.1.act_quantizer,act,8,2.8582,4,,,
0,features.2.conv.0.0.weight_quantizer,weight,8,-0.4924,7,,41.62,0.00065
0,features.2.conv.0.0.bias_quantizer,weight,8,4.0719,2,,37.18,0.0
0,features.2.conv.0.0.act_quantizer,act,8,3.5029,3,"(0.0, None)",,
0,features.2.conv.1.0.weight_quantizer,weight,8,0.0059,6,,39.28,0.0
0,features.2.conv.1.0.bias_quantizer,weight,8,6.052,0,,32.33,0.0
0,features.2.conv.1.0.act_quantizer,act,8,4.5593,2,"(0.0, None)",,
0,features.2.conv.2.weight_quantizer,weight,8,0.0372,6,,35.9,0.0
0,features.2.conv.2.bias_quantizer,weight,8,5.6428,1,,38.18,0.0
0,features.2.conv.2.act_quantizer,act,8,5.4188,1,,,
0,features.3.conv.0.0.weight_quantizer,weight,8,-0.2675,7,,38.74,0.0
0,features.3.conv.0.0.bias_quantizer,weight,8,5.1391,1,,38.07,0.0
0,features.3.conv.0.0.act_quantizer,act,8,6.1174,0,"(0.0, None)",,
0,features.3.conv.1.0.weight_quantizer,weight,8,-0.0063,7,,41.68,0.00077
0,features.3.conv.1.0.bias_quantizer,weight,8,4.9513,2,,11.83,0.00694
0,features.3.conv.1.0.act_quantizer,act,8,5.8177,1,"(0.0, None)",,
0,features.3.conv.2.weight_quantizer,weight,8,-0.0,7,,39.45,0.00058
0,features.3.conv.2.bias_quantizer,weight,8,4.6384,2,,42.05,0.0
0,features.3.conv.2.act_quantizer,act,8,5.5154,1,,,
0,features.4.conv.0.0.weight_quantizer,weight,8,-0.2148,7,,35.33,0.0
0,features.4.conv.0.0.bias_quantizer,weight,8,4.1985,2,,36.61,0.0
0,features.4.conv.0.0.act_quantizer,act,8,5.1992,1,"(0.0, None)",,
0,features.4.conv.1.0.weight_quantizer,weight,8,-0.5468,7,,41.33,0.0
0,features.4.conv.1.0.bias_quantizer,weight,8,4.9951,2,,37.74,0.0
0,features.4.conv.1.0.act_quantizer,act,8,4.0,2,"(0.0, None)",,
0,features.4.conv.2.weight_quantizer,weight,8,-0.9995,7,,36.86,0.0
0,features.4.conv.2.bias_quantizer,weight,8,4.8297,2,,42.78,0.0
0,features.4.conv.2.act_quantizer,act,8,5.4363,1,,,
0,features.5.conv.0.0.weight_quantizer,weight,8,-0.1109,7,,36.97,0.0
0,features.5.conv.0.0.bias_quantizer,weight,8,5.8769,1,,37.15,0.0
0,features.5.conv.0.0.act_quantizer,act,8,5.1619,1,"(0.0, None)",,
0,features.5.conv.1.0.weight_quantizer,weight,8,0.0534,6,,34.12,0.0
0,features.5.conv.1.0.bias_quantizer,weight,8,5.771,1,,31.55,0.00521
0,features.5.conv.1.0.act_quantizer,act,8,5.1676,1,"(0.0, None)",,
0,features.5.conv.2.weight_quantizer,weight,8,0.4731,6,,31.79,0.0
0,features.5.conv.2.bias_quantizer,weight,8,4.1699,2,,39.08,0.0
0,features.5.conv.2.act_quantizer,act,8,5.7362,1,,,
0,features.6.conv.0.0.weight_quantizer,weight,8,0.7887,6,,30.73,0.0
0,features.6.conv.0.0.bias_quantizer,weight,8,5.6202,1,,35.66,0.0
0,features.6.conv.0.0.act_quantizer,act,8,6.3514,0,"(0.0, None)",,
0,features.6.conv.1.0.weight_quantizer,weight,8,0.3961,6,,34.61,0.0
0,features.6.conv.1.0.bias_quantizer,weight,8,5.4851,1,,35.05,0.0
0,features.6.conv.1.0.act_quantizer,act,8,6.677,0,"(0.0, None)",,
