epoch,quantizer,tensor_type,bitwidth,log2_t,frac,bounded_range,sqnr_db,clip_rate
0,conv1.weight_quantizer,weight,8,2.0015,4,,27.94,0.0
0,conv1.bias_quantizer,weight,8,4.5644,2,,36.44,0.0
0,conv1.act_quantizer,act,8,5.0,1,"(0.0, None)",,
0,maxpool.quantizer,act,8,5.0415,1,,,
0,layer1.0.conv1.weight_quantizer,weight,8,-0.792,7,,31.95,0.0
0,layer1.0.conv1.bias_quantizer,weight,8,4.3268,2,,39.2,0.0
0,layer1.0.conv1.act_quantizer,act,8,4.3284,2,"(0.0, None)",,
0,layer1.0.conv2.weight_quantizer,weight,8,-0.7187,7,,23.33,0.0
0,layer1.0.conv2.bias_quantizer,weight,8,3.6884,3,,42.12,0.0
0,layer1.0.conv2.act_quantizer,act,8,4.0013,2,"(0.0, None)",,
0,layer1.0.conv3.weight_quantizer,weight,8,0.5039,6,,25.51,6e-05
0,layer1.0.conv3.bias_quantizer,weight,8,3.4911,3,,41.55,0.0
0,layer1.0.conv3.act_quantizer,act,8,3.607,3,,,
0,layer1.0.downsample.0.weight_quantizer,weight,8,0.9908,6,,25.49,0.00024
0,layer1.0.downsample.0.bias_quantizer,weight,8,4.369,2,,35.74,0.0
0,layer1.0.downsample.0.act_quantizer,act,8,3.9997,3,,,
0,layer1.1.conv1.weight_quantizer,weight,8,1.427,5,,20.67,0.0
0,layer1.1.conv1.bias_quantizer,weight,8,5.8596,1,,28.29,0.0
0,layer1.1.conv1.act_quantizer,act,8,4.3074,2,"(0.0, None)",,
0,layer1.1.conv2.weight_quantizer,weight,8,-0.3193,7,,28.48,0.0
0,layer1.1.conv2.bias_quantizer,weight,8,2.8696,4,,41.98,0.0
0,layer1.1.conv2.act_quantizer,act,8,4.55,2,"(0.0, None)",,
0,layer1.1.conv3.weight_quantizer,weight,8,1.2569,5,,19.88,0.00012
0,layer1.1.conv3.bias_quantizer,weight,8,3.7372,3,,36.47,0.0
0,layer1.1.conv3.act_quantizer,act,8,4.8369,2,,,
0,layer1.2.conv1.weight_quantizer,weight,8,0.5707,6,,23.82,0.0
0,layer1.2.conv1.bias_quantizer,weight,8,3.9586,3,,35.38,0.0
0,layer1.2.conv1.act_quantizer,act,8,3.814,3,"(0.0, None)",,
0,layer1.2.conv2.weight_quantizer,weight,8,-0.0282,7,,26.24,5e-05
0,layer1.2.conv2.bias_quantizer,weight,8,3.6789,3,,37.54,0.0
0,layer1.2.conv2.act_quantizer,act,8,5.0002,1,"(0.0, None)",,
